code,industry
601138,消费电子
000333,家电行业
002415,计算机设备
688981,半导体
601601,保险
000651,家电行业
600031,工程机械
601766,交运设备
605499,食品饮料
300014,电池
601888,旅游酒店
000617,多元金融
601881,证券
600989,化学原料
600905,电力行业
002230,软件开发
000166,证券
601390,工程建设
600415,商业百货
601800,工程建设
300033,软件开发
600886,电力行业
688521,半导体
000895,食品饮料
001979,房地产开发
600703,光学光电子
600673,综合行业
688126,半导体
601872,航运港口
000807,有色金属
002466,能源金属
000002,房地产开发
002648,化学原料
688303,光伏设备
300207,电池
600426,化学原料
300251,文化传媒
302132,航天航空
601607,医药商业
300316,光伏设备
002202,风电设备
601058,橡胶制品
000999,中药
002252,生物制品
603087,生物制品
603129,交运设备
002414,电子元件
002402,消费电子
600392,小金属
688002,半导体
002078,造纸印刷
002008,通用设备
000786,装修建材
000021,消费电子
600733,汽车整车
002032,家电行业
000564,商业百货
002601,化学原料
300373,半导体
601799,汽车零部件
600208,房地产开发
601598,物流行业
601155,房地产开发
601233,化纤行业
002555,游戏
601615,风电设备
688568,互联网服务
002152,计算机设备
601179,电网设备
002155,贵金属
000983,煤炭行业
688313,通信设备
002465,通信设备
600862,航天航空
000878,有色金属
601865,光伏设备
688180,生物制品
601519,软件开发
603596,汽车零部件
600486,农药兽药
600871,采掘行业
000733,电子元件
600348,煤炭行业
688363,美容护理
000629,钢铁行业
600884,电子元件
002773,化学制药
000519,专用设备
688676,电网设备
603816,装修建材
600038,航天航空
002409,电子化学品
600933,汽车零部件
001696,交运设备
600380,化学制药
603688,非金属材料
002318,钢铁行业
600602,软件开发
002518,电源设备
002249,电机
600754,旅游酒店
600131,互联网服务
600410,互联网服务
000723,煤炭行业
000898,钢铁行业
603171,互联网服务
300682,软件开发
002015,电力行业
603589,酿酒行业
600546,煤炭行业
002747,通用设备
600970,工程建设
002044,医疗服务
688205,光学光电子
002896,通用设备
000537,电力行业
601333,铁路公路
600383,房地产开发
603678,电子元件
002407,化学制品
601965,汽车服务
603305,汽车零部件
000099,航空机场
603927,软件开发
603667,通用设备
603077,化学原料
600056,医药商业
300409,非金属材料
002432,医疗器械
603583,专用设备
603983,美容护理
300083,通用设备
300657,电子元件
001203,钢铁行业
300133,文化传媒
603218,风电设备
601156,物流行业
300762,通信设备
002698,专用设备
002020,化学制药
300070,环保行业
603185,光伏设备
002607,教育
000061,贸易行业
300101,通信设备
000837,通用设备
002326,化学制品
002654,文化传媒
002984,橡胶制品
002338,仪器仪表
688668,通信设备
600064,房地产开发
002536,汽车零部件
300353,通信设备
000811,通用设备
688016,医疗器械
605020,化学制品
600717,航运港口
300428,汽车零部件
600072,风电设备
002151,通信设备
000536,光学光电子
301039,汽车整车
301316,软件开发
300010,教育
688409,半导体
002345,珠宝首饰
002237,贵金属
001914,房地产服务
300182,文化传媒
000567,多元金融
002913,电子元件
601222,仪器仪表
000758,有色金属
002928,航空机场
300131,消费电子
300294,生物制品
600267,化学制药
301171,互联网服务
603297,光学光电子
000547,通信设备
002036,光学光电子
000795,小金属
600797,互联网服务
300328,小金属
002815,电子元件
002204,工程机械
002019,化学制药
002006,专用设备
600409,化学原料
603690,专用设备
002488,汽车零部件
002626,食品饮料
688690,化学制药
300613,半导体
600821,电力行业
002439,软件开发
300382,专用设备
300693,电源设备
300348,软件开发
000065,工程建设
688362,半导体
300319,电子元件
301207,生物制品
000700,汽车零部件
300678,互联网服务
002051,工程建设
600501,专用设备
300872,互联网服务
300303,光学光电子
002332,化学制药
600783,非金属材料
600759,石油行业
000552,煤炭行业
002192,能源金属
300841,生物制品
002042,纺织服装
688232,软件开发
300482,医疗器械
300925,软件开发
600184,专用设备
688202,医疗服务
600664,化学制药
300145,通用设备
600375,汽车整车
300855,有色金属
300596,塑料制品
300222,电网设备
300725,化学制药
300171,医疗器械
000756,化学制药
001339,计算机设备
300119,农药兽药
688392,专用设备
688432,半导体
300403,家电行业
301267,医疗服务
300990,通用设备
688332,半导体
002060,工程建设
688252,半导体
688498,半导体
301487,电池
688343,软件开发
301486,消费电子
688631,软件开发
688484,半导体
688563,航天航空
002827,化学制品
600635,燃气
688612,汽车零部件
001212,装修装饰
600269,铁路公路
688001,专用设备
600475,电源设备
600874,环保行业
688603,电子化学品
600007,房地产开发
603337,专用设备
002801,电机
600662,专业服务
600619,家电行业
600592,通用设备
002608,电力行业
301061,家电行业
600361,有色金属
002102,化学制药
603281,化学制品
835185,电池
603800,专用设备
600675,房地产开发
688788,通信设备
000880,通用设备
300486,专用设备
603053,燃气
605008,塑料制品
301000,塑料制品
301109,环保行业
603277,通用设备
688055,光学光电子
605099,家用轻工
688513,化学制药
605198,食品饮料
688336,生物制品
600117,钢铁行业
688585,塑料制品
688775,消费电子
688729,半导体
688411,电源设备
301526,玻璃玻纤
301275,通信设备
301678,半导体
603341,消费电子
603194,工程机械
301658,光伏设备
301600,通信设备
301665,农药兽药
603262,食品饮料
688750,有色金属
603395,化肥行业
301535,汽车零部件
603370,电机
600343,专用设备
300352,软件开发
002267,燃气
600305,食品饮料
002023,航天航空
688556,光伏设备
600650,铁路公路
002727,医药商业
605123,通用设备
002543,家电行业
603040,汽车零部件
603533,文化传媒
301556,软件开发
002846,包装材料
688526,农药兽药
300079,互联网服务
600094,房地产开发
002163,玻璃玻纤
600571,互联网服务
300080,通用设备
301479,光学光电子
300708,光学光电子
601226,工程机械
002533,电网设备
002079,半导体
002707,旅游酒店
300036,软件开发
002639,通用设备
300671,半导体
002489,家用轻工
002612,纺织服装
688160,专用设备
603773,光学光电子
300976,消费电子
002997,汽车零部件
001330,文化传媒
605088,汽车零部件
300470,通用设备
600370,化学制品
600502,工程建设
605365,家电行业
603936,电子元件
300368,计算机设备
300451,软件开发
300139,贵金属
300342,家电行业
300401,化学制药
300386,软件开发
300267,化学制药
300842,光伏设备
301326,消费电子
603153,工程咨询服务
688210,电子元件
301052,文化传媒
002676,家电行业
688787,互联网服务
000888,旅游酒店
301501,家用轻工
688588,软件开发
301508,专业服务
301529,汽车零部件
001311,汽车零部件
605286,专用设备
000560,房地产服务
002206,化纤行业
688376,环保行业
601500,橡胶制品
605339,食品饮料
000949,化纤行业
600217,环保行业
300380,软件开发
300129,风电设备
300151,专用设备
605288,专用设备
002175,仪器仪表
603222,化学制药
301259,环保行业
600658,房地产服务
603069,铁路公路
600605,房地产服务
000678,汽车零部件
600691,化肥行业
002785,装修建材
603312,电网设备
001328,美容护理
000026,珠宝首饰
002642,互联网服务
603303,家电行业
603135,专用设备
300781,文化传媒
300669,专用设备
688315,医疗服务
300951,消费电子
002401,互联网服务
300444,电网设备
688429,光伏设备
002552,通用设备
603758,汽车零部件
300271,互联网服务
000905,航运港口
001258,电力行业
300905,塑料制品
603400,通用设备
688176,生物制品
300530,电池
603061,半导体
300111,化学制药
688028,通用设备
300369,软件开发
300698,通信设备
000751,有色金属
600178,汽车零部件
605598,工程建设
300488,通用设备
301448,通用设备
688311,通信设备
600513,化学制药
002274,化肥行业
300940,光学光电子
300004,专用设备
600897,航空机场
002361,塑料制品
001288,工程机械
301190,化学制品
600400,纺织服装
000722,电力行业
688389,医疗器械
002279,软件开发
600207,光伏设备
301021,电子元件
300788,文化传媒
603861,电网设备
603035,汽车零部件
300981,医疗器械
601789,工程建设
603890,消费电子
002889,物流行业
002264,互联网服务
300617,电网设备
600626,汽车零部件
301099,贸易行业
301398,汽车零部件
920060,电子元件
603062,化学原料
002148,通信服务
605018,汽车零部件
002449,光学光电子
002577,消费电子
000726,纺织服装
600288,电子元件
688293,专业服务
002367,专用设备
688023,软件开发
601700,电网设备
601121,钢铁行业
300057,有色金属
300237,汽车零部件
600617,燃气
300894,家电行业
688286,半导体
688302,生物制品
002672,环保行业
000926,房地产开发
301618,化学制品
000862,电力行业
300752,光学光电子
603032,电池
002365,化学制药
002688,农药兽药
603018,工程咨询服务
688663,电网设备
833509,电网设备
300993,家用轻工
000925,交运设备
688152,软件开发
835174,工程机械
002132,通用设备
002095,互联网服务
300611,汽车零部件
603901,专用设备
605208,汽车零部件
603155,化学制品
300683,生物制品
000532,综合行业
300484,专用设备
002178,软件开发
430418,通用设备
002786,专用设备
830946,化学制药
603386,电子元件
002658,仪器仪表
301220,化学制品
002627,旅游酒店
688181,光学光电子
000710,医疗器械
688075,医疗器械
300700,通用设备
002956,食品饮料
